Node 1 (id),Node 2 (id),Path type,Path,Delay (ms)
0,2,Main,[ 0 2 ],3.86399
0,3,Main,[ 0 2 3 ],8.09508
0,4,Main,[ 0 4 ],2.84255
0,5,Main,[ 0 5 ],27.7529
0,7,Main,[ 0 7 ],0.252558
0,8,Main,[ 0 5 8 ],29.4551
0,9,Main,[ 0 5 8 9 ],31.1195
0,10,Main,[ 0 2 10 ],8.87142
0,12,Main,[ 0 5 12 ],29.2789
0,13,Main,[ 0 2 10 13 ],10.4455
0,14,Main,[ 0 2 10 14 ],9.91821
0,20,Main,[ 0 2 10 20 ],16.1419
1,4,Main,[ 1 4 ],1.37409
1,5,Main,[ 1 5 ],26.2857
1,6,Main,[ 1 6 ],0.578676
1,7,Main,[ 1 6 7 ],1.22726
1,8,Main,[ 1 8 ],27.7759
1,9,Main,[ 1 8 9 ],29.4403
1,12,Main,[ 1 5 12 ],27.8117
1,22,Main,[ 1 22 ],5.24831
2,3,Main,[ 2 3 ],4.23108
2,10,Main,[ 2 10 ],5.00742
2,13,Main,[ 2 10 13 ],6.58154
2,14,Main,[ 2 10 14 ],6.05421
2,20,Main,[ 2 10 20 ],12.2779
3,10,Main,[ 3 10 ],6.87257
3,13,Main,[ 3 10 13 ],8.44669
3,14,Main,[ 3 10 14 ],7.91936
3,20,Main,[ 3 10 20 ],14.143
5,8,Main,[ 5 8 ],1.70212
5,9,Main,[ 5 8 9 ],3.36656
5,12,Main,[ 5 12 ],1.52601
6,7,Main,[ 6 7 ],0.648588
8,9,Main,[ 8 9 ],1.66444
8,12,Main,[ 8 9 12 ],3.91613
9,12,Main,[ 9 12 ],2.2517
10,13,Main,[ 10 13 ],1.57412
10,14,Main,[ 10 14 ],1.04679
10,20,Main,[ 10 20 ],7.27044
13,14,Main,[ 13 14 ],1.27169
15,16,Main,[ 15 16 ],1.00801
15,18,Main,[ 15 16 18 ],4.7314
15,19,Main,[ 15 16 18 19 ],7.19493
15,20,Main,[ 15 16 18 19 20 ],9.76791
15,21,Main,[ 15 16 18 21 ],11.6586
15,22,Main,[ 15 22 ],12.933
16,18,Main,[ 16 18 ],3.72339
16,19,Main,[ 16 18 19 ],6.18692
16,20,Main,[ 16 18 19 20 ],8.7599
16,21,Main,[ 16 18 21 ],10.6505
17,18,Main,[ 17 18 ],51.0441
17,19,Main,[ 17 18 19 ],53.5076
17,20,Main,[ 17 18 19 20 ],56.0806
17,21,Main,[ 17 18 21 ],57.9712
18,19,Main,[ 18 19 ],2.46353
18,20,Main,[ 18 19 20 ],5.03651
18,21,Main,[ 18 21 ],6.92716
19,20,Main,[ 19 20 ],2.57298
