Node 1 (id),Node 1 (label),Node 1 (longitude),Node 1 (latitude),Node 2 (id),Node 2 (label),Node 2 (longitude),Node 2 (latitude),Distance (km),Delay (ms)
0,"Washington CDC",-77.0364,38.8951,2,"Atlanta",-84.388,33.749,804.999,3.86399
0,"Washington CDC",-77.0364,38.8951,4,"Boston",-71.0598,42.3584,592.198,2.84255
0,"Washington CDC",-77.0364,38.8951,5,"London",-0.12574,51.5085,5781.86,27.7529
0,"Washington CDC",-77.0364,38.8951,7,"Baltimore",-76.6122,39.2904,52.6163,0.252558
1,"New York",-74.006,40.7143,8,"Amsterdam",4.88969,52.374,5786.64,27.7759
1,"New York",-74.006,40.7143,6,"Philadelphia",-75.1638,39.9523,120.557,0.578676
1,"New York",-74.006,40.7143,4,"Boston",-71.0598,42.3584,286.268,1.37409
1,"New York",-74.006,40.7143,5,"London",-0.12574,51.5085,5476.18,26.2857
1,"New York",-74.006,40.7143,22,"Chicago",-87.65,41.85,1093.4,5.24831
2,"Atlanta",-84.388,33.749,10,"Houston",-95.3633,29.7633,1043.21,5.00742
2,"Atlanta",-84.388,33.749,3,"Miami",-80.1937,25.7743,881.476,4.23108
3,"Miami",-80.1937,25.7743,10,"Houston",-95.3633,29.7633,1431.79,6.87257
5,"London",-0.12574,51.5085,12,"Paris",2.3488,48.8534,317.919,1.52601
5,"London",-0.12574,51.5085,8,"Amsterdam",4.88969,52.374,354.608,1.70212
6,"Philadelphia",-75.1638,39.9523,7,"Baltimore",-76.6122,39.2904,135.122,0.648588
8,"Amsterdam",4.88969,52.374,9,"Frankfurt",8.68333,50.1167,346.758,1.66444
9,"Frankfurt",8.68333,50.1167,12,"Paris",2.3488,48.8534,469.104,2.2517
10,"Houston",-95.3633,29.7633,20,"Phoenix",-112.074,33.4484,1514.68,7.27044
10,"Houston",-95.3633,29.7633,13,"Dallas",-96.8067,32.7831,327.941,1.57412
10,"Houston",-95.3633,29.7633,14,"Austin",-97.7431,30.2672,218.082,1.04679
11,"None",0,0,13,"Dallas",-96.8067,32.7831,0,0
11,"None",0,0,22,"Chicago",-87.65,41.85,0,0
11,"None",0,0,21,"Denver",-104.985,39.7392,0,0
13,"Dallas",-96.8067,32.7831,14,"Austin",-97.7431,30.2672,264.935,1.27169
15,"Seattle",-122.332,47.6062,16,"Portland",-122.676,45.5234,210.003,1.00801
15,"Seattle",-122.332,47.6062,22,"Chicago",-87.65,41.85,2694.38,12.933
16,"Portland",-122.676,45.5234,18,"San Francisco",-122.419,37.7749,775.705,3.72339
17,"Tokyo",139.581,35.6149,18,"San Francisco",-122.419,37.7749,10634.2,51.0441
18,"San Francisco",-122.419,37.7749,19,"Los Angeles",-118.244,34.0522,513.236,2.46353
18,"San Francisco",-122.419,37.7749,21,"Denver",-104.985,39.7392,1443.16,6.92716
19,"Los Angeles",-118.244,34.0522,20,"Phoenix",-112.074,33.4484,536.037,2.57298
