Node 1 (id),Node 2 (id),Path type,Path,Delay (ms)
0,1,Main,[ 0 1 ],1.36438
0,2,Main,[ 0 2 ],5.24831
0,3,Main,[ 0 2 3 ],7.52332
0,6,Main,[ 0 6 ],0.578676
0,7,Main,[ 0 7 ],1.46847
0,8,Main,[ 0 2 3 8 ],10.7749
0,9,Main,[ 0 2 9 ],7.08436
0,13,Main,[ 0 2 9 13 ],10.9696
0,15,Main,[ 0 2 15 ],11.9918
0,16,Main,[ 0 2 16 ],8.24717
0,17,Main,[ 0 2 17 ],18.866
0,18,Main,[ 0 2 17 18 ],19.3996
0,19,Main,[ 0 2 17 19 ],22.5894
0,20,Main,[ 0 2 20 ],18.1813
0,21,Main,[ 0 2 21 ],14.5204
0,22,Main,[ 0 2 9 22 ],18.5996
0,23,Main,[ 0 2 9 22 23 ],19.3848
0,24,Main,[ 0 2 9 22 24 ],21.1726
1,6,Main,[ 1 6 ],1.94271
1,7,Main,[ 1 6 7 ],2.83401
2,3,Main,[ 2 3 ],2.275
2,6,Main,[ 2 6 ],4.88461
2,7,Main,[ 2 6 7 ],5.7759
2,8,Main,[ 2 3 8 ],5.52655
2,9,Main,[ 2 9 ],1.83604
2,13,Main,[ 2 9 13 ],5.72127
2,15,Main,[ 2 15 ],6.74346
2,16,Main,[ 2 16 ],2.99886
2,17,Main,[ 2 17 ],13.6177
2,18,Main,[ 2 17 18 ],14.1513
2,19,Main,[ 2 17 19 ],17.3411
2,20,Main,[ 2 20 ],12.933
2,21,Main,[ 2 21 ],9.27208
2,22,Main,[ 2 9 22 ],13.3513
2,23,Main,[ 2 9 22 23 ],14.1365
2,24,Main,[ 2 9 22 24 ],15.9243
3,6,Main,[ 3 6 ],2.62402
3,7,Main,[ 3 6 7 ],3.51532
3,8,Main,[ 3 8 ],3.25155
3,9,Main,[ 3 9 ],3.57707
3,13,Main,[ 3 9 13 ],7.4623
3,15,Main,[ 3 9 13 15 ],12.1613
3,16,Main,[ 3 9 16 ],5.33591
3,17,Main,[ 3 9 16 17 ],16.3148
3,18,Main,[ 3 9 16 17 18 ],16.8484
3,19,Main,[ 3 9 16 17 19 ],20.0382
3,20,Main,[ 3 9 16 17 20 ],21.0375
3,21,Main,[ 3 9 13 15 21 ],14.8817
3,22,Main,[ 3 9 22 ],15.0924
3,23,Main,[ 3 9 22 23 ],15.8775
3,24,Main,[ 3 9 22 24 ],17.6653
4,5,Main,[ 4 5 ],2.55207
4,7,Main,[ 4 7 ],1.63135
4,8,Main,[ 4 5 8 ],4.07253
4,9,Main,[ 4 5 9 ],5.87109
4,13,Main,[ 4 5 13 ],7.74012
4,14,Main,[ 4 5 14 ],5.36114
4,15,Main,[ 4 5 13 15 ],12.4392
4,16,Main,[ 4 5 9 16 ],7.62993
4,17,Main,[ 4 5 13 17 ],18.4486
4,18,Main,[ 4 5 13 17 18 ],18.9822
4,19,Main,[ 4 5 13 17 19 ],22.172
4,20,Main,[ 4 5 13 17 20 ],23.1713
4,21,Main,[ 4 5 13 15 21 ],15.1595
4,22,Main,[ 4 5 13 22 ],16.6611
4,23,Main,[ 4 5 13 22 23 ],17.4463
4,24,Main,[ 4 5 13 22 24 ],19.2341
5,7,Main,[ 5 7 ],3.86399
5,8,Main,[ 5 8 ],1.52046
5,9,Main,[ 5 9 ],3.31902
5,13,Main,[ 5 13 ],5.18805
5,14,Main,[ 5 14 ],2.80907
5,15,Main,[ 5 13 15 ],9.88708
5,16,Main,[ 5 9 16 ],5.07786
5,17,Main,[ 5 13 17 ],15.8965
5,18,Main,[ 5 13 17 18 ],16.4301
5,19,Main,[ 5 13 17 19 ],19.6199
5,20,Main,[ 5 13 17 20 ],20.6192
5,21,Main,[ 5 13 15 21 ],12.6075
5,22,Main,[ 5 13 22 ],14.1091
5,23,Main,[ 5 13 22 23 ],14.8942
5,24,Main,[ 5 13 22 24 ],16.682
6,7,Main,[ 6 7 ],0.891292
8,9,Main,[ 8 9 ],1.80556
8,13,Main,[ 8 13 ],4.432
8,15,Main,[ 8 13 15 ],9.13103
8,16,Main,[ 8 9 16 ],3.5644
8,17,Main,[ 8 9 16 17 ],14.5433
8,18,Main,[ 8 9 16 17 18 ],15.0769
8,19,Main,[ 8 9 16 17 19 ],18.2667
8,20,Main,[ 8 9 16 17 20 ],19.266
8,21,Main,[ 8 13 15 21 ],11.8514
8,22,Main,[ 8 9 22 ],13.3208
8,23,Main,[ 8 9 22 23 ],14.106
8,24,Main,[ 8 9 22 24 ],15.8938
9,13,Main,[ 9 13 ],3.88523
9,15,Main,[ 9 13 15 ],8.58426
9,16,Main,[ 9 16 ],1.75883
9,17,Main,[ 9 16 17 ],12.7378
9,18,Main,[ 9 16 17 18 ],13.2713
9,19,Main,[ 9 16 17 19 ],16.4611
9,20,Main,[ 9 16 17 20 ],17.4605
9,21,Main,[ 9 13 15 21 ],11.3046
9,22,Main,[ 9 22 ],11.5153
9,23,Main,[ 9 22 23 ],12.3004
9,24,Main,[ 9 22 24 ],14.0883
10,11,Main,[ 10 11 ],2.26766
10,12,Main,[ 10 11 12 ],3.62161
10,13,Main,[ 10 13 ],3.15567
10,14,Main,[ 10 14 ],3.80467
10,15,Main,[ 10 13 15 ],7.8547
10,16,Main,[ 10 13 16 ],6.32263
10,17,Main,[ 10 13 17 ],13.8642
10,18,Main,[ 10 13 17 18 ],14.3977
10,19,Main,[ 10 13 17 19 ],17.5875
10,20,Main,[ 10 13 17 20 ],18.5869
10,21,Main,[ 10 13 15 21 ],10.5751
10,22,Main,[ 10 13 22 ],12.0767
10,23,Main,[ 10 13 22 23 ],12.8618
10,24,Main,[ 10 11 12 24 ],9.67836
11,12,Main,[ 11 12 ],1.35395
11,13,Main,[ 11 13 ],1.57412
11,14,Main,[ 11 14 ],6.05154
11,15,Main,[ 11 13 15 ],6.27315
11,16,Main,[ 11 13 16 ],4.74108
11,17,Main,[ 11 13 17 ],12.2826
