Node 1 (id),Node 1 (label),Node 1 (longitude),Node 1 (latitude),Node 2 (id),Node 2 (label),Node 2 (longitude),Node 2 (latitude),Distance (km),Delay (ms)
0,"NY54",-74.006,40.7143,1,"CMBR",-71.1056,42.3751,284.246,1.36438
0,"NY54",-74.006,40.7143,2,"CHCG",-87.65,41.85,1093.4,5.24831
0,"NY54",-74.006,40.7143,6,"PHLA",-75.1638,39.9523,120.557,0.578676
0,"NY54",-74.006,40.7143,7,"WASH",-77.0364,38.8951,305.931,1.46847
1,"CMBR",-71.1056,42.3751,6,"PHLA",-75.1638,39.9523,404.732,1.94271
2,"CHCG",-87.65,41.85,3,"CLEV",-81.6954,41.4995,473.959,2.275
2,"CHCG",-87.65,41.85,6,"PHLA",-75.1638,39.9523,1017.63,4.88461
2,"CHCG",-87.65,41.85,9,"STLS",-90.1979,38.6273,382.509,1.83604
2,"CHCG",-87.65,41.85,15,"DNVR",-104.985,39.7392,1404.89,6.74346
2,"CHCG",-87.65,41.85,16,"KSCY",-94.6275,39.1142,624.762,2.99886
2,"CHCG",-87.65,41.85,17,"SNFN",-122.419,37.7749,2837.02,13.6177
2,"CHCG",-87.65,41.85,20,"STTL",-122.332,47.6062,2694.38,12.933
2,"CHCG",-87.65,41.85,21,"SLKC",-111.891,40.7608,1931.68,9.27208
3,"CLEV",-81.6954,41.4995,8,"NSVL",-86.7844,36.1659,677.407,3.25155
3,"CLEV",-81.6954,41.4995,9,"STLS",-90.1979,38.6273,745.223,3.57707
3,"CLEV",-81.6954,41.4995,6,"PHLA",-75.1638,39.9523,546.672,2.62402
4,"RLGH",-78.6386,35.7721,5,"ATLN",-84.388,33.749,531.681,2.55207
4,"RLGH",-78.6386,35.7721,7,"WASH",-77.0364,38.8951,339.864,1.63135
5,"ATLN",-84.388,33.749,7,"WASH",-77.0364,38.8951,804.999,3.86399
5,"ATLN",-84.388,33.749,8,"NSVL",-86.7844,36.1659,316.763,1.52046
5,"ATLN",-84.388,33.749,9,"STLS",-90.1979,38.6273,691.463,3.31902
5,"ATLN",-84.388,33.749,13,"DLLS",-96.8067,32.7831,1080.84,5.18805
5,"ATLN",-84.388,33.749,14,"ORLD",-81.3792,28.5383,585.223,2.80907
6,"PHLA",-75.1638,39.9523,7,"WASH",-77.0364,38.8951,185.686,0.891292
8,"NSVL",-86.7844,36.1659,9,"STLS",-90.1979,38.6273,376.159,1.80556
8,"NSVL",-86.7844,36.1659,13,"DLLS",-96.8067,32.7831,923.333,4.432
9,"STLS",-90.1979,38.6273,13,"DLLS",-96.8067,32.7831,809.423,3.88523
9,"STLS",-90.1979,38.6273,16,"KSCY",-94.6275,39.1142,366.424,1.75883
9,"STLS",-90.1979,38.6273,22,"LA03",-118.244,34.0522,2399.02,11.5153
10,"NWOR",-90.0751,29.9547,11,"HSTN",-95.3633,29.7633,472.43,2.26766
10,"NWOR",-90.0751,29.9547,13,"DLLS",-96.8067,32.7831,657.431,3.15567
10,"NWOR",-90.0751,29.9547,14,"ORLD",-81.3792,28.5383,792.64,3.80467
11,"HSTN",-95.3633,29.7633,12,"SNAN",-98.4936,29.4241,282.073,1.35395
11,"HSTN",-95.3633,29.7633,13,"DLLS",-96.8067,32.7831,327.941,1.57412
11,"HSTN",-95.3633,29.7633,14,"ORLD",-81.3792,28.5383,1260.74,6.05154
12,"SNAN",-98.4936,29.4241,24,"PHNX",-112.074,33.4484,1261.82,6.05674
12,"SNAN",-98.4936,29.4241,13,"DLLS",-96.8067,32.7831,367.707,1.76499
13,"DLLS",-96.8067,32.7831,15,"DNVR",-104.985,39.7392,978.965,4.69903
13,"DLLS",-96.8067,32.7831,16,"KSCY",-94.6275,39.1142,659.784,3.16696
13,"DLLS",-96.8067,32.7831,17,"SNFN",-122.419,37.7749,2230.94,10.7085
13,"DLLS",-96.8067,32.7831,22,"LA03",-118.244,34.0522,1858.54,8.92101
15,"DNVR",-104.985,39.7392,16,"KSCY",-94.6275,39.1142,845.997,4.06078
15,"DNVR",-104.985,39.7392,17,"SNFN",-122.419,37.7749,1443.16,6.92716
15,"DNVR",-104.985,39.7392,21,"SLKC",-111.891,40.7608,566.745,2.72038
16,"KSCY",-94.6275,39.1142,17,"SNFN",-122.419,37.7749,2287.28,10.9789
17,"SNFN",-122.419,37.7749,18,"SCRM",-121.494,38.5816,111.158,0.533558
17,"SNFN",-122.419,37.7749,19,"PTLD",-122.676,45.5234,775.705,3.72339
17,"SNFN",-122.419,37.7749,20,"STTL",-122.332,47.6062,983.896,4.7227
17,"SNFN",-122.419,37.7749,21,"SLKC",-111.891,40.7608,909.438,4.3653
17,"SNFN",-122.419,37.7749,22,"LA03",-118.244,34.0522,513.236,2.46353
18,"SCRM",-121.494,38.5816,21,"SLKC",-111.891,40.7608,809.984,3.88792
19,"PTLD",-122.676,45.5234,20,"STTL",-122.332,47.6062,210.003,1.00801
21,"SLKC",-111.891,40.7608,22,"LA03",-118.244,34.0522,854.412,4.10118
22,"LA03",-118.244,34.0522,23,"SNDG",-117.157,32.7153,163.576,0.785163
22,"LA03",-118.244,34.0522,24,"PHNX",-112.074,33.4484,536.037,2.57298
22,"LA03",-118.244,34.0522,24,"PHNX",-112.074,33.4484,536.037,2.57298
23,"SNDG",-117.157,32.7153,24,"PHNX",-112.074,33.4484,447.573,2.14835
